Sensor Channel,IC,IC Channel
1,0,20
2,3,50
3,3,48
4,3,44
5,0,22
6,0,12
7,3,56
8,3,52
9,3,36
10,3,32
11,0,28
12,0,24
13,0,8
14,0,10
15,3,46
16,3,62
17,3,54
18,3,38
19,3,34
20,3,30
21,0,26
22,0,14
23,0,6
24,0,2
25,0,60
26,3,58
27,3,60
28,3,42
29,3,40
30,3,28
31,0,30
32,0,18
33,0,16
34,0,0
35,0,4
36,3,6
37,3,0
38,3,2
39,3,20
40,3,22
41,3,26
42,0,32
43,0,54
44,0,56
45,0,58
46,0,62
47,3,10
48,3,12
49,3,4
50,3,16
51,3,18
52,3,24
53,0,34
54,0,38
55,0,52
56,0,44
57,0,50
58,0,48
59,2,50
60,2,48
61,3,8
62,3,14
63,2,44
64,1,36
65,0,36
66,1,28
67,0,42
68,0,40
69,0,46
70,2,60
71,2,62
72,2,46
73,2,52
74,2,54
75,2,36
76,1,38
77,1,26
78,1,22
79,1,20
80,1,8
81,1,16
82,2,14
83,2,58
84,2,0
85,2,56
86,2,38
87,1,40
88,1,34
89,1,24
90,1,2
91,1,18
92,1,14
93,2,16
94,2,8
95,2,4
96,2,2
97,2,42
98,2,40
99,1,32
100,1,30
101,1,0
102,1,4
103,1,10
104,1,12
105,2,18
106,2,20
107,2,6
108,2,10
109,1,42
110,1,44
111,1,58
112,1,54
113,1,6
114,2,22
115,2,24
116,2,12
117,2,30
118,1,46
119,1,50
120,1,56
121,1,62
122,2,26
123,2,28
124,2,32
125,1,48
126,1,52
127,2,34